time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,contact infectivity,duration,total population,recovering,succumbing,infectious,recovered,susceptible
19.375,0,100,0.03125,0.03125,0.3,5,1000,5.847390346010319,8.075122612285547,29.236951730051594,55.11045689127781,920.6525913786724
19.40625,0,100,0.03125,0.03125,0.3,5,1000,5.861313672674539,8.09213179995084,29.306568363372694,55.29318783959064,920.4002437970385
19.4375,0,100,0.03125,0.03125,0.3,5,1000,5.875256285970016,8.109152382517301,29.376281429850078,55.47635389186171,920.14736467829
19.46875,0,100,0.03125,0.03125,0.3,5,1000,5.889218136573436,8.126184233484048,29.44609068286718,55.659955650798274,919.8939536663364
19.5,0,100,0.03125,0.03125,0.3,5,1000,5.903199174679127,8.143227225672824,29.515995873395635,55.84399371756619,919.6400104090401
19.53125,0,100,0.03125,0.03125,0.3,5,1000,5.917199349997838,8.16028123122813,29.58599674998919,56.02846869177492,919.3855345582379
19.5625,0,100,0.03125,0.03125,0.3,5,1000,5.9312186117555274,8.177346121617383,29.656093058777635,56.21338117146235,919.130525769762
19.59375,0,100,0.03125,0.03125,0.3,5,1000,5.945256908692164,8.194421767631104,29.726284543460817,56.398731753079716,918.8749837034615
19.625,0,100,0.03125,0.03125,0.3,5,1000,5.959314189060532,8.211508039383126,29.79657094530266,56.58452103147635,918.618908023223
19.65625,0,100,0.03125,0.03125,0.3,5,1000,5.973390400625048,8.228604806310823,29.86695200312524,56.77074959988449,918.3622983969923
19.6875,0,100,0.03125,0.03125,0.3,5,1000,5.987485490660584,8.24571193717538,29.93742745330292,56.95741804990402,918.1051544967951
19.71875,0,100,0.03125,0.03125,0.3,5,1000,6.001599405951302,8.262829300062075,30.007997029756506,57.14452697148717,917.8474759987583
19.75,0,100,0.03125,0.03125,0.3,5,1000,6.015732092789493,8.279956762380582,30.078660463947468,57.332076952923146,917.5892625831314
19.78125,0,100,0.03125,0.03125,0.3,5,1000,6.0298834969744375,8.297094190865336,30.14941748487219,57.520068580822816,917.330513934307
19.8125,0,100,0.03125,0.03125,0.3,5,1000,6.044053563811255,8.314241451575864,30.22026781905628,57.70850244010327,917.0712297408425
19.84375,0,100,0.03125,0.03125,0.3,5,1000,6.058242238109784,8.331398409897202,30.29121119054892,57.89737911397237,916.8114096954807
19.875,0,100,0.03125,0.03125,0.3,5,1000,6.072449464183455,8.348564930540302,30.362247320917277,58.086699183913304,916.5510534951715
19.90625,0,100,0.03125,0.03125,0.3,5,1000,6.086675185848185,8.365740877542477,30.433375929240928,58.276463229669034,916.2901608410921
19.9375,0,100,0.03125,0.03125,0.3,5,1000,6.100919346421275,8.38292611426787,30.504596732106375,58.46667182922679,916.0287314386688
19.96875,0,100,0.03125,0.03125,0.3,5,1000,6.115181888720317,8.400120503407958,30.57590944360158,58.657325558802455,915.766764997598
20.0,0,100,0.03125,0.03125,0.3,5,1000,6.129462755062114,8.417323906982073,30.64731377531057,58.84842499282497,915.5042612318665
20.03125,0,100,0.03125,0.03125,0.3,5,1000,6.143761887261614,8.434536186337953,30.71880943630807,59.03997070392066,915.2412198597733
20.0625,0,100,0.03125,0.03125,0.3,5,1000,6.158079226630841,8.45175720215233,30.790396133154207,59.23196326289759,914.9776406039502
20.09375,0,100,0.03125,0.03125,0.3,5,1000,6.172414713977851,8.468986814431519,30.862073569889255,59.4244032387298,914.7135231913829
20.125,0,100,0.03125,0.03125,0.3,5,1000,6.186768289605686,8.486224882512074,30.93384144802843,59.61729119854161,914.448867353432
20.15625,0,100,0.03125,0.03125,0.3,5,1000,6.2011398933113515,8.503471265061439,31.005699466556756,59.810627707591784,914.1836728258535
20.1875,0,100,0.03125,0.03125,0.3,5,1000,6.215529464384789,8.520725820078635,31.077647321923948,60.004413329257765,913.9179393488203
20.21875,0,100,0.03125,0.03125,0.3,5,1000,6.2299369416078765,8.537988404894989,31.14968470803938,60.19864862501979,913.6516666669428
20.25,0,100,0.03125,0.03125,0.3,5,1000,6.244362263253421,8.555258876174868,31.221811316267104,60.393334154445036,913.3848545292898
20.28125,0,100,0.03125,0.03125,0.3,5,1000,6.25880536708418,8.572537089916466,31.294026835420897,60.588470475171704,913.1175026894093
20.3125,0,100,0.03125,0.03125,0.3,5,1000,6.273266190351881,8.589822901452598,31.366330951759405,60.78405814289309,912.8496109053494
20.34375,0,100,0.03125,0.03125,0.3,5,1000,6.28774466979626,8.607116165451531,31.438723348981302,60.980097711341585,912.581178939679
20.375,0,100,0.03125,0.03125,0.3,5,1000,6.3022407416441055,8.624416735917851,31.511203708220528,61.17658973227272,912.3122065595087
20.40625,0,100,0.03125,0.03125,0.3,5,1000,6.316754341608316,8.64172446619335,31.58377170804158,61.37353475544909,912.0426935365113
20.4375,0,100,0.03125,0.03125,0.3,5,1000,6.331285404886972,8.659039208957935,31.656427024434862,61.57093332862435,911.7726396469427
20.46875,0,100,0.03125,0.03125,0.3,5,1000,6.345833866162416,8.676360816230588,31.72916933081208,61.76878599752707,911.5020446716628
20.5,0,100,0.03125,0.03125,0.3,5,1000,6.360399659600342,8.693689139370328,31.80199829800171,61.96709330584464,911.2309083961557
20.53125,0,100,0.03125,0.03125,0.3,5,1000,6.374982718848904,8.711024029077228,31.87491359424452,62.16585579520715,910.9592306105503
20.5625,0,100,0.03125,0.03125,0.3,5,1000,6.389582977037831,8.728365335393443,31.947914885189157,62.36507400517118,910.6870111096416
20.59375,0,100,0.03125,0.03125,0.3,5,1000,6.4042003667775536,8.745712907704272,32.021001833887766,62.564748473203615,910.4142496929105
20.625,0,100,0.03125,0.03125,0.3,5,1000,6.418834820158345,8.763066594739263,32.094174100791726,62.76487973466541,910.1409461645447
20.65625,0,100,0.03125,0.03125,0.3,5,1000,6.433486268749476,8.780426244573317,32.16743134374738,62.96546832279536,909.8671003334591
