time,INITIAL TIME,FINAL TIME,TIME STEP,SAVEPER,population total,recovery rate,transmission rate,infection,recovery,Infected,Recovered,Susceptible
43.0,0,100,0.25,0.25,1000.0000000000011,0.1,0.3,4.587889238726687,14.880442036773932,148.8044203677393,748.4233360974556,102.77224353480617
43.25,0,100,0.25,0.25,1000.000000000001,0.1,0.3,4.4582381135831435,14.62312821682275,146.2312821682275,752.143446606649,101.6252712251245
43.5,0,100,0.25,0.25,1000.000000000001,0.1,0.3,4.332717047521432,14.36900596424176,143.6900596424176,755.7992286608547,100.5107116967287
43.75,0,100,0.25,0.25,1000.000000000001,0.1,0.3,4.2111831615640725,14.118098741323752,141.18098741323752,759.3914801519152,99.42753243484835
44.0,0,100,0.25,0.25,1000.000000000001,0.1,0.3,4.093498470960672,13.87042585182976,138.7042585182976,762.9210048372461,98.37473664445733
44.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.9795297559263494,13.626002667308033,136.26002667308032,766.3886113002035,97.35136202671715
44.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.8691484308612467,13.38484084452349,133.8484084452349,769.7951119670305,96.35647958773556
44.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.7622304127559985,13.146948534181934,131.46948534181934,773.1413221781613,95.38919248002026
45.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.6586559894028796,12.912330581146286,129.12330581146284,776.4280593117068,94.44863487683125
45.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.558309687955061,12.6809887163527,126.809887163527,779.6561419569933,93.53397087948053
45.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.46108014430638,12.45292174064276,124.52921740642759,782.8263891360815,92.64439345749177
45.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.366859973700828,12.228125700734351,122.2812570073435,785.9396195712422,91.77912342141518
46.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.2755456429238237,12.006594057558512,120.06594057558512,788.9966509964258,90.93740842798996
46.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.1870373443760305,11.788317847192644,117.88317847192644,791.9982995108155,90.11852201725901
46.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.101238872284243,11.57328583462223,115.73285834622229,794.9453789726136,89.321762681165
46.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,3.018057501262569,11.36148466056378,113.6148466056378,797.8387004312692,88.54645296309394
47.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.937403867400026,11.15289898158125,111.5289898158125,800.6790715964102,87.7919385877783
47.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.8591918520177018,10.947511603726719,109.47511603726718,803.4672963418054,87.0575876209283
47.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.78333846820918,10.745303609933993,107.45303609933993,806.204174242737,86.34278965792387
47.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.709763750251821,10.546254481390873,105.46254481390872,808.8905001452206,85.64695504087157
48.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.6383906459533706,10.350342213112397,103.50342213112395,811.5270637655683,84.96951410330863
48.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.569144911977961,10.15754342393342,101.5754342393342,814.1146493188464,84.30991644182028
48.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.501955012177608,9.967833461134534,99.67833461134533,816.6540351748298,83.66763021382579
48.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.4367520189395835,9.78118649991061,97.8118649991061,819.1459935401134,83.04214146078138
49.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.3734695175463076,9.597575637886335,95.97575637886335,821.5912901650911,82.43295345604649
49.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.31204351353247,9.416972984877836,94.16972984877835,823.9906840745626,81.83958607665991
49.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.252412343013808,9.2393497480942,92.393497480942,826.3449273207821,81.2615751982768
49.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.194516585953099,9.064676312967192,90.64676312967191,828.6547647578057,80.69847211252335
50.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.1382989823213907,8.89292231979184,88.92922319791839,830.9209338360474,80.14984296603507
50.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.0837043511061215,8.72405673635508,87.24056736355078,833.1441644159954,79.61526822045472
50.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,2.0306795121124592,8.558047926723855,85.58047926723854,835.3251786000842,79.0943421326782
50.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.9791732104997724,8.39486371635857,83.9486371635857,837.4646905817651,78.58667225465008
51.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.9291360439915737,8.234471453712102,82.344714537121,839.5634065108547,78.09187895202514
51.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.8805203926944625,8.076838068469087,80.76838068469087,841.6220243742828,77.60959494102725
51.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.8332803514593596,7.921930126574721,79.2193012657472,843.6412338914,77.13946484285364
51.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.7873716647167435,7.769713882196837,77.69713882196837,845.6217164230437,76.68114475498881
52.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.742751663716465,7.620155326759835,76.20155326759834,847.5641448935929,76.23430183880963
52.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.6993792061020525,7.47322023518375,74.7322023518375,849.4691837252828,75.7986139228805
52.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.6572146177491274,7.328874209456707,73.28874209456707,851.3374887840788,75.373769121355
52.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.6162196367976065,7.187082719664018,71.87082719664018,853.169707336443,74.95946546691772
53.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.5763573598077036,7.047811142592358,70.47811142592357,854.966478016359,74.55541055771832
53.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.537592189970339,6.9110247980227415,69.11024798022741,856.7284308020071,74.16132121776639
53.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.4998897873033719,6.776688982821432,67.76688982821432,858.4561870015128,73.7769231702738
53.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.4632170207660522,6.644769002933481,66.44769002933481,860.1503592472181,73.40195072344797
54.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.4275419222252541,6.5152302033792955,65.15230203379295,861.8115514979515,73.03614646825645
54.25,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.3928336422082956,6.388037996350445,63.88037996350444,863.4403590487964,72.67926098770013
54.5,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.3590624073785502,6.263157887496891,62.6315788749689,865.037368547884,72.33105257714806
54.75,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.3261994796715084,6.140555500493932,61.405555004939316,866.6031580197582,71.99128697530342
55.0,0,100,0.25,0.25,1000.0000000000009,0.1,0.3,1.294217117030482,6.020196599973371,60.20196599973371,868.1382968948817,71.65973710538555
55.25,0,100,0.25,0.25,1000.000000000001,0.1,0.3,1.2630885356827204,5.902047112899799,59.02047112899799,869.6433460448751,71.33618282612792
55.5,0,100,0.25,0.25,1000.000000000001,0.1,0.3,1.232787873898341,5.786073148469373,57.86073148469372,871.1188578231,71.02041069220725
55.75,0,100,0.25,0.25,1000.000000000001,0.1,0.3,1.2032901571761052,5.6722410166050965,56.72241016605096,872.5653761102174,70.71221372373266
56.0,0,100,0.25,0.25,1000.000000000001,0.1,0.3,1.17457126480175,5.560517245119372,55.60517245119372,873.9834363643687,70.41139118443863
56.25,0,100,0.25,0.25,1000.000000000001,0.1,0.3,1.1466078977262415,5.450868595611432,54.50868595611431,875.3735656756485,70.1177483682382
